file,repeat_count
CompanySimilarRelation.csv,255470
Company.csv,44456
Person.csv,38076
InvestorCoInvestorRelation.csv,33789
CompanyCompetitorRelation.csv,28022
Deal.csv,16263
CompanyVerticalRelation.csv,14949
Investor.csv,11994
CompanyInvestorRelation.csv,7305
DealInvestorRelation.csv,7158
PersonPositionRelation.csv,2332
Fund.csv,2213
InvestorInvestmentRelation.csv,1674
DealSellerRelation.csv,1079
PersonAffiliatedDealRelation.csv,895
EntityBoardTeamRelation.csv,744
ServiceProviderInvFundRelation.csv,635
InvestorExitRelation.csv,597
PersonBoardSeatRelation.csv,473
ServiceProvider.csv,417
CompanyBuySideRelation.csv,402
PersonAffiliatedFundRelation.csv,367
DealServiceProviderRelation.csv,297
LPDirectInvestmentRelation.csv,251
InvestorFundRelation.csv,227
ServiceProviderCompDealRelation.csv,218
FundServiceProviderRelation.csv,193
EntityAffiliateRelation.csv,185
LPFundCommitmentRelation.csv,167
LimitedPartner.csv,147
FundInvestmentRelation.csv,144
PersonEducationRelation.csv,143
InvestorLimitedPartnerRelation.csv,139
PersonAdvisoryRelation.csv,137
ServiceProviderInvestorRelation.csv,132
CompanyAffiliateRelation.csv,125
InvestorAffiliateRelation.csv,120
FundInvestorRelation.csv,110
EntityBoardSeatHeldRelation.csv,52
FundReturnRelation.csv,52
FundReturnReporterRelation.csv,52
ServiceProviderCompanyRelation.csv,45
DealTrancheRelation.csv,27
CompanyServiceProviderRelation.csv,22
EntityLocationRelation.csv,17
CompanyLocationRelation.csv,13
FundLPCommitmentRelation.csv,8
FundLimitedPartnerRelation.csv,8
CompanyBoardSeatHeldRelation.csv,6
InvestorLeadPartnerRelation.csv,6
InvestorLocationRelation.csv,5
FundTeamRelation.csv,4
DealDebtLenderRelation.csv,3
InvestorServiceProviderRelation.csv,2
ServiceProviderLPRelation.csv,2
